Data source,From Country,From State,From City,To Country,To State,To City
APAC Superstore,Afghanistan,Kabul,Kabul,,,
APAC Superstore,Afghanistan,Kandahar,Kandahar,,,
APAC Superstore,Afghanistan,Nangarhar,Jalalabad,,,
APAC Superstore,Australia,Australian Capital Territory,Canberra,,,
APAC Superstore,Australia,New South Wales,Albury,,,
APAC Superstore,Australia,New South Wales,Armidale,,,
APAC Superstore,Australia,New South Wales,Broken Hill,,,
APAC Superstore,Australia,New South Wales,Cessnock,,,
APAC Superstore,Australia,New South Wales,Coffs Harbour,,,
APAC Superstore,Australia,New South Wales,Dubbo,,,
APAC Superstore,Australia,New South Wales,Goulburn,,,
APAC Superstore,Australia,New South Wales,Griffith,,,
APAC Superstore,Australia,New South Wales,Lismore,,,
APAC Superstore,Australia,New South Wales,Newcastle,,,
APAC Superstore,Australia,New South Wales,Nowra,,,
APAC Superstore,Australia,New South Wales,Orange,,,
APAC Superstore,Australia,New South Wales,Port Macquarie,,,
APAC Superstore,Australia,New South Wales,Queanbeyan,,,
APAC Superstore,Australia,New South Wales,Sydney,,,
APAC Superstore,Australia,New South Wales,Tamworth,,,
APAC Superstore,Australia,New South Wales,Wagga Wagga,,,
APAC Superstore,Australia,New South Wales,Wollongong,,,
APAC Superstore,Australia,Northern Territory,Alice Springs,,,
APAC Superstore,Australia,Queensland,Brisbane,,,
APAC Superstore,Australia,Queensland,Bundaberg,,,
APAC Superstore,Australia,Queensland,Cairns,,,
APAC Superstore,Australia,Queensland,Gladstone,,,
APAC Superstore,Australia,Queensland,Mackay,,,
APAC Superstore,Australia,Queensland,Maryborough,,,
APAC Superstore,Australia,Queensland,Mount Isa,,,
APAC Superstore,Australia,Queensland,Rockhampton,,,
APAC Superstore,Australia,Queensland,Toowoomba,,,
APAC Superstore,Australia,South Australia,Gawler,,,
APAC Superstore,Australia,South Australia,Mount Gambier,,,
APAC Superstore,Australia,South Australia,Murray Bridge,,,
APAC Superstore,Australia,South Australia,Whyalla,,,
APAC Superstore,Australia,Tasmania,Burnie,,,
APAC Superstore,Australia,Tasmania,Devonport,,,
APAC Superstore,Australia,Tasmania,Hobart,,,
APAC Superstore,Australia,Tasmania,Launceston,,,
APAC Superstore,Australia,Victoria,Ballarat,,,
APAC Superstore,Australia,Victoria,Bendigo,,,
APAC Superstore,Australia,Victoria,Echuca,,,
APAC Superstore,Australia,Victoria,Geelong,,,
